Index,Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
371,Bronx,Fordham Heights,SE Corner of Marion Avenue & E 187 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,15,,,,,,46,4215,
372,Brooklyn,Crown Heights (North),NE Corner of Rochester Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,41,,,,,,77,3951,
373,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Nostrand Avenue & Greene Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,4000,
374,Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",4th Avenue Presbyterian Church,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Not accepted: meat, bones, or dairy",,310,47,,,,40.635514,-74.022767,68,4279,POINT (-74.022767 40.635514)
375,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Big Reuse Warehouse,"1 12th St, Brooklyn NY 11215",NYC Compost Project Hosted by Big Reuse,Year Round,Every Day (Start Time: 10:00 AM - End Time:  6:00 PM),"Not accepted: meat, bones, or dairy",https://www.bigreuse.org/service/compost/,306,38,,,,40.672077,-73.996401,78,4015,POINT (-73.996401 40.672077)
376,Queens,Douglaston-Little Neck,St. Anastasia Roman Catholic Church,246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden,St. Anastasia Roman Catholic Church,Year Round,Fridays and Saturdays (Start Time: Fridays 8 AM; Saturdays 12 PM - End Time:  Fridays 12 PM; Saturdays 12:30 PM),"Not accepted: meat, bones, or dairy",https://www.sta.nyc/,411,19,,,,40.7657836,-73.7408196,111,4293,POINT (-73.7408196 40.7657836)
377,Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",BK Rot,Year Round,Sundays (Start Time: 12:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",BKrot.org,304,34,,,,40.697694,-73.925806,83,4061,POINT (-73.925806 40.697694)
378,Queens,Astoria (East)-Woodside (North),SE Corner of 31 Avenue & 49 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4161,
379,Brooklyn,Crown Heights (North),Franklin Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3968,
380,Brooklyn,Brownsville,*CLOSED FOR THE SEASON* Iso Student Farm,"514 Rockaway Avenue, Brooklyn, NY 11212",Volunteers at Isabahlia LOE Foundation,"Seasonal, April-October",Fridays and Saturdays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.isabahlialoefinc.org/,316,41,,,,40.6674207,-73.9102833,73,3929,POINT (-73.9102833 40.6674207)
381,Bronx,Crotona Park East,Bronx River House / Starlight Park,1490 Sheridan Blvd,Bronx River Alliance,Year Round,Fridays (Start Time: 9:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",www.bronxriver.org,209,17,157,2030190100,2128943,40.8328527,-73.8830803,43,4133,POINT (-73.8830803 40.8328527)
382,Queens,Kew Gardens,Kew Gardens Food Scrap Drop-off,Metropolitan Ave & Audley St,GrowNYC,Year Round,Thursdays (Start Time: 9:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,409,29,,,,40.707626,-73.836079,102,4264,POINT (-73.836079 40.707626)
383,Brooklyn,East New York-New Lots,East New York Farms: UCC Youth Farm,613 New Lots Avenue,East New York Farms,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://ucceny.org/enyf/,305,42,1124,3040890025,3090717,40.66547,-73.88668,75,4205,POINT (-73.88668 40.66547)
384,Manhattan,East Harlem (North),SW Corner of E 123 Street & 2 Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,25,3918,
385,Queens,Elmhurst,Terraza 7,"40-19 Gleane Street, Elmhurst, NY, 11373",,Year Round,Sundays (Start Time: 9:30 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",https://terraza7.com/,404,25,,,,40.7475361,-73.8820084,110,4148,POINT (-73.8820084 40.7475361)
386,Queens,Astoria (Central),SW Corner of 33rd Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4180,
387,Manhattan,Harlem (North),SE Corner of W 151 Street & Macombs Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,32,3901,
388,Queens,South Jamaica,Discovery Community Garden,"108-56 Union Hall St, Jamaica, NY 11433",NYC Compost Project Hosted by Big Reuse,Year Round,Wednesdays (Start Time: 1:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",,412,28,,,,40.6944987,-73.7913159,103,4296,POINT (-73.7913159 40.6944987)
389,Staten Island,West New Brighton-Silver Lake-Grymes Hill,SW Corner of Campbell Avenue & Henderson Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,,,,,,120,4311,
390,Bronx,Norwood,SE Corner of Kings College Place & Gun Hill Rd.,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,207,11,,,,,,52,4244,
391,Manhattan,Inwood,SE Corner of Broadway & Academy Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,,,,,,34,4029,
392,Brooklyn,Flatbush,Flatbush Junction Food Scrap Drop-off,Hillel Pl & Flatbush Ave,GrowNYC,Year Round,Fridays (Start Time: 8:30 AM - End Time:  2:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,314,45,,,,40.632583,-73.948111,70,4200,POINT (-73.948111 40.632583)
393,Queens,Forest Hills,Forest Hills Greenmarket,MacDonald Park: Queens Blvd and 70th Ave,GrowNYC and the Forest Hills Green Team,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,406,29,,,,40.721268,-73.846877,112,4261,POINT (-73.846877 40.721268)
394,Brooklyn,Bedford-Stuyvesant (East),NE Corner of Lewis Avenue & Bainbridge Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,3941,
